status,date_published,date_added,title,description,publisher,link,sentiment,score
🤖 Auto,2026-03-20 16:10:04+00:00,3/28/26 9:57,Super Micro Co-Founder Charged With Smuggling $2.5 Billion of AI Tech Into China,Co-Founder and Vice President Yih-Shyan Liaw could face up to 30 years in prison.,Gizmodo.com,https://gizmodo.com/super-micro-co-founder-charged-with-smuggling-2-5-billion-of-ai-tech-into-china-2000736075,Negative,-0.51
🤖 Auto,2026-03-20 11:10:17+00:00,3/28/26 9:57,AI (2014),"Yesterday at lunch a friend asked me what tech trend he should pay attention to but was probably ignoring.

Without thinking much I said “artificial intelligence”, but having thought about that a...",Samaltman.com,https://blog.samaltman.com/ai,Negative,-0.39
🤖 Auto,2026-03-19 19:30:17+00:00,3/28/26 9:57,"Higher Oil Prices From Trump’s Iran War Risk Killing the AI Boom, WTO Says",President Deals seems to be setting the global economy on fire.,Gizmodo.com,https://gizmodo.com/higher-oil-prices-from-trumps-iran-war-risk-killing-the-ai-boom-wto-says-2000735678,Negative,-0.92
🤖 Auto,2026-03-19 18:48:56+00:00,3/28/26 9:57,Fox News AI Newsletter: Wall-climbing robots swarm US Navy warships,"The Fox News AI Newsletter gives readers the latest AI technology advancements, covering the challenges and opportunities AI presents.",Fox News,https://www.foxnews.com/tech/ai-newsletter-wall-climbing-robots-swarm-us-navy-warships,Positive,0.34
🤖 Auto,2026-03-18 21:34:47+00:00,3/28/26 9:57,Kash Patel Admits the FBI is Buying Private Data on Americans,"Sen. Ron Wyden called it an ""outrageous end run around the Fourth Amendment.""",Gizmodo.com,https://gizmodo.com/kash-patel-admits-the-fbi-is-buying-private-data-on-americans-2000735317,Negative,-0.2
🤖 Auto,2026-03-18 19:48:54+00:00,3/28/26 9:57,Apple named in AI lawsuit over data set it says doesn’t power Apple Intelligence,"Apple is named in a new AI lawsuit by publisher Chicken Soup for the Soul, reports Reuters. However, the lawsuit points to a data set that Apple has already said doesn’t power Apple Intelligence.



 more…",9to5Mac,https://9to5mac.com/2026/03/18/apple-named-in-ai-lawsuit-over-data-set-it-already-says-doesnt-power-apple-intelligence/,Positive,0.36
🤖 Auto,2026-03-18 15:38:00+00:00,3/28/26 9:57,The Iran war disrupts global helium supply and artificial intelligence chip makers,"The closure of the Strait of Hormuz has trapped a third of the world’s commercial helium, threatening the irreplaceable coolant that makes MRI scanners and advanced microchips possible",Scientific American,https://www.scientificamerican.com/article/the-iran-war-disrupts-global-helium-supply-and-artificial-intelligence-chip/,Negative,-0.77
🤖 Auto,2026-02-27 21:22:00+00:00,3/28/26 9:57,Trump Tells Feds to Stop Using Claude AI After Anthropic Stood by Surveillance Restrictions,"The Trump administration wanted the Department of Defense to be able to use Claude for ""any lawful purpose.""",CNET,https://www.cnet.com/tech/services-and-software/anthropic-claude-pentagon-surveillance-weapons-concerns-trump-order/,Negative,-0.18
🤖 Auto,2026-02-27 16:00:00+00:00,3/28/26 9:57,Wall Street Has AI Psychosis,A “thought experiment” about the impacts of AI sent stocks tumbling earlier this week. It’s probably going to keep happening.,Wired,https://www.wired.com/story/wall-street-has-ai-psychosis/,Neutral,0
🤖 Auto,2026-03-18 11:00:12+00:00,3/28/26 9:57,CorridorKey is What You Get When Artists Make AI Tools,"You may not have noticed, but so-called “artificial intelligence” is slightly controversial in the arts world. Illustrators, graphics artists, visual effects (VFX) professionals — anybody who pushes pixels around are …read more",Hackaday,https://hackaday.com/2026/03/18/corridorkey-is-what-you-get-when-artists-make-ai-tools/,Negative,-0.19
🤖 Auto,2026-03-17 20:16:14+00:00,3/28/26 9:57,Learnings from training a font recognition model from scratch,"Mixfont is the world's first artificial intelligence powered digital font foundry. Identify, generate, and edit fonts, all powered by uniquely trained models.",Mixfont.com,https://www.mixfont.com/blog/learnings-from-training-a-font-recognition-model-from-scratch,Positive,0.48
🤖 Auto,2026-03-17 19:59:00+00:00,3/28/26 9:57,2 Artificial Intelligence (AI) Stocks That Could Set You Up for Life,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_446b9edc-6ec3-48dc-b899-d2e50984cba8,Positive,0.48
🤖 Auto,2026-02-27 21:21:57+00:00,3/28/26 9:57,"ChatGPT Has Almost 1 Billion Weekly Users, OpenAI Says",That's up from 700 million users in September last year and more than doubled from where it was last year.,CNET,https://www.cnet.com/tech/services-and-software/chatgpt-has-almost-1-billion-weekly-users/,Neutral,0
🤖 Auto,2026-03-17 09:07:01+00:00,3/28/26 9:57,The Pentagon provided a rare inside look at Palantir's Project Maven and how the AI tool helps the military wage war,"Cameron Staley, the Pentagon's chief digital and AI officer, praised Palantir's tool for modernizing warfighting.",Business Insider,https://www.businessinsider.com/palantir-project-maven-ai-demonstration-pentagon-2026-3,Positive,0.23
🤖 Auto,2026-03-17 00:00:00+00:00,3/28/26 9:57,AI is programmed to hijack human empathy — we must resist that,"As artificial intelligence begins to mimic consciousness with uncanny skill, we need design norms and laws that prevent it from being mistaken for sentient beings.",Nature.com,https://www.nature.com/articles/d41586-026-00834-z,Positive,0.18
🤖 Auto,2026-03-02 01:20:00+00:00,3/28/26 9:57,"The Top Artificial Intelligence (AI) Stocks to Buy With $1,000 Right Now",,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3f7b5b33-41c4-4266-a8ef-a497189b1312,Positive,0.6
🤖 Auto,2026-03-04 22:16:17+00:00,3/28/26 9:57,Apple Music introduces metadata tags to disclose AI-generated content,"Today, Apple introduced new metadata tags that will let record labels and distributors disclose when artificial intelligence was used in the creation of music, artwork, and more. Here are the details.



 more…",9to5Mac,https://9to5mac.com/2026/03/04/apple-music-introduces-metadata-tags-to-disclose-ai-generated-content/,Positive,0.64
🤖 Auto,2026-03-14 09:00:02+00:00,3/28/26 9:57,I spent 17 hours at a legal conference. These were the two questions haunting lawyers about AI.,Billions of dollars are riding on lawyers moving faster with AI. But how many lawyers are actually using the tools?,Business Insider,https://www.businessinsider.com/inside-legalweek-2026-ai-adoption-lawyers-law-firms-2026-3,Negative,-0.08
🤖 Auto,2026-03-10 14:00:00+00:00,3/28/26 9:57,EQT Eyes $6 Billion Sale of SUSE,"Private equity firm EQT AB is reportedly exploring a sale of SUSE that could value the open-source Linux pioneer at up to $6 billion, roughly doubling the valuation since EQT took the company private in 2023. Reuters reports: EQT ""has hired investment bank Ar…",Slashdot.org,https://linux.slashdot.org/story/26/03/10/0450204/eqt-eyes-6-billion-sale-of-suse,Positive,0.34
🤖 Auto,2026-03-10 12:00:25+00:00,3/28/26 9:57,Mathematics is undergoing the biggest change in its history,The speed at which artificial intelligence is gaining in mathematical ability has taken many by surprise. It is rewriting what it means to be a mathematician,New Scientist,https://www.newscientist.com/article/2518526-mathematics-is-undergoing-the-biggest-change-in-its-history/,Positive,0.85
🤖 Auto,2026-03-09 19:43:50+00:00,3/28/26 9:57,New Apple TV 4K and HomePod Likely Won't Launch Until New Siri is Ready,"Apple has a new version of the HomePod and a new Apple TV 4K ready to go, but the devices may be tied to the Siri update that's been continually postponed, according to Bloomberg's Mark Gurman.





In a report on a planned September launch for new ‌Siri‌ cap…",MacRumors,https://www.macrumors.com/2026/03/09/apple-tv-4k-new-homepod-launch-timing/,Positive,0.08
🤖 Auto,2026-03-09 19:09:39+00:00,3/28/26 9:57,"AI Is One of the Least-Liked Things in America, According to New NBC Poll","The poll finds that AI is viewed less positively than ICE and President Donald Trump, and only more positively than Iran and the Democratic Party.",CNET,https://www.cnet.com/tech/services-and-software/ai-unpopular-in-america-new-nbc-poll/,Positive,0.86
🤖 Auto,2026-03-04 11:00:00+00:00,3/28/26 9:57,This BBC tech reporter hacked ChatGPT with a simple trick involving hot dogs,BBC tech journalist Thomas Germain’s simple—and hilarious—experiment exposes a serious flaw in common artificial intelligence tools,Scientific American,https://www.scientificamerican.com/podcast/episode/this-bbc-tech-reporter-hacked-chatgpt-with-a-simple-trick-involving-hot-dogs/,Negative,-0.15
🤖 Auto,2026-03-09 18:35:34+00:00,3/28/26 9:57,"People Hate AI Even More Than They Hate ICE, Poll Finds",The only things less popular than AI in the poll were Iran and the Democratic Party.,Gizmodo.com,https://gizmodo.com/people-hate-ai-even-more-than-they-hate-ice-poll-finds-2000731438,Negative,-0.54
🤖 Auto,2026-03-04 14:15:03+00:00,3/28/26 9:57,AI is now part of the culture wars — and real wars,"Hello and welcome to Regulator, the newsletter for Verge subscribers that goes inside Washington's increasingly existential clashes between tech and politics. If this was forwarded to you, can I interest you in a full-fledged subscription to The Verge for onl…",The Verge,https://www.theverge.com/column/888907/ai-culture-war-iran-pentagon-anthropic,Negative,-0.3
🤖 Auto,2026-03-09 16:34:10+00:00,3/28/26 9:57,Anthropic sues Trump administration after clash over AI use,Anthropic seeks to block White House designation of firm as supply-chain risk.,Abcnews.com,https://abcnews.com/Business/anthropic-sues-trump-administration-after-clash-ai/story?id=130905672,Negative,-0.61
🤖 Auto,2026-03-09 10:00:00+00:00,3/28/26 9:57,"A measles surge, AI in warfare and accelerated global warming","Why measles cases are rising in the U.S., how artificial intelligence is shaping warfare, and what accelerated global warming means for the world",Scientific American,https://www.scientificamerican.com/podcast/episode/a-measles-surge-ai-in-warfare-and-accelerated-global-warming/,Positive,0.23
🤖 Auto,2026-03-04 22:08:00+00:00,3/28/26 9:57,X Targets Paid Creators Who Don't Label AI-Generated War Content,It's unclear if this policy will eventually apply to all creators on the platform.,CNET,https://www.cnet.com/tech/services-and-software/x-paid-creators-ai-generated-war-content/,Positive,0.28
🤖 Auto,2026-03-07 20:07:00+00:00,3/28/26 9:57,How Anthropic's Claude Helped Mozilla to Improve Firefox's Security,"""It took Anthropic's most advanced artificial-intelligence model about 20 minutes to find its first Firefox browser bug during an internal test of its hacking prowess,"" reports the Wall Street Journal.

The Anthropic team submitted it, and Firefox's developer…",Slashdot.org,https://news.slashdot.org/story/26/03/07/204222/how-anthropics-claude-helped-mozilla-to-improve-firefoxs-security,Positive,0.76
🤖 Auto,2026-03-20 18:00:00+00:00,3/28/26 9:57,DOJ Charges Super Micro Co-Founder For Smuggling $2.5 Billion In Nvidia GPUs To China,"Longtime Slashdot reader AmiMoJo shares a report from CNN: The co-founder of Super Micro Computer and two others were charged with diverting $2.5 billion worth of servers with Nvidia's artificial intelligence chips to China, in violation of U.S. laws barring …",Slashdot.org,https://yro.slashdot.org/story/26/03/20/177200/doj-charges-super-micro-co-founder-for-smuggling-25-billion-in-nvidia-gpus-to-china,Positive,0.7
🤖 Auto,2026-03-06 17:25:56+00:00,3/28/26 9:57,"Pentagon Reportedly Used Microsoft Workaround to Test OpenAI Models, Despite Ban",The Defense Department alledgedly experimented with OpenAI models through Microsoft even when the company’s policies prohibited military use.,Gizmodo.com,https://gizmodo.com/pentagon-reportedly-used-microsoft-workaround-to-test-openai-models-despite-ban-2000730635,Positive,0.37
🤖 Auto,2026-03-05 15:00:00+00:00,3/28/26 9:57,US Tech Firms Pledge At White House To Bear Costs of Energy For Datacenters,"Major tech companies including Google, Microsoft, Amazon, and Meta pledged at the White House to pay for new power generation and grid upgrades needed to support their rapidly expanding datacenters. The Guardian reports: The agreement is meant to help mitigat…",Slashdot.org,https://yro.slashdot.org/story/26/03/05/0537244/us-tech-firms-pledge-at-white-house-to-bear-costs-of-energy-for-datacenters,Positive,0.88
🤖 Auto,2026-03-05 00:00:00+00:00,3/28/26 9:57,The first 'AI societies' are taking shape: how human-like are they?,"Scientists are studying forms of ‘social’ interactions between artificial-intelligence agents. Will they find a fresh form of sociology, or merely a sophisticated mime act?",Nature.com,https://www.nature.com/articles/d41586-026-00070-5,Positive,0.74
🤖 Auto,2026-03-05 13:00:00+00:00,3/28/26 9:57,Don’t Call It ‘Intelligence’,Humans are question machines. AI is an answer machine.,The Atlantic,https://www.theatlantic.com/ideas/2026/03/intelligence-concept/686121/,Neutral,0
🤖 Auto,2026-03-04 06:06:52+00:00,3/28/26 9:57,Inside the secret meeting that led to the AI political resistance,"In early January, a group of 90 or so political, community and thought leaders gathered in a New Orleans Marriott for a secret conference on artificial intelligence - so secret, in fact, that no one knew who else had been invited until they walked into the ro…",The Verge,https://www.theverge.com/ai-artificial-intelligence/888841/pro-human-ai-declaration-fli,Positive,0.23
🤖 Auto,2026-03-10 18:00:00+00:00,3/28/26 9:57,Oracle Is Walking Away From Expanding Its Stargate Data Center With Oracle,OpenAI is reportedly backing away from expanding its AI data center partnership with Oracle because newer generations of Nvidia GPUs may arrive before the facility is even operational. CNBC reports: Artificial intelligence chips are getting upgraded more quic…,Slashdot.org,https://developers.slashdot.org/story/26/03/10/0510223/oracle-is-walking-away-from-expanding-its-stargate-data-center-with-oracle,Positive,0.49
🤖 Auto,2026-03-02 16:59:39+00:00,3/28/26 9:57,Report: Apple Asks Google to Run Siri on Its Servers,"Apple has asked Google to investigate setting up servers in its data centers to run a future version of Siri powered by Gemini, The Information reports.





Currently, Apple sends its more complex AI queries to Private Cloud Compute, a system that runs on Ap…",MacRumors,https://www.macrumors.com/2026/03/02/apple-asks-google-to-run-siri/,Neutral,0
🤖 Auto,2026-03-10 18:00:00+00:00,3/28/26 9:57,OpenAI Is Walking Away From Expanding Its Stargate Data Center With Oracle,OpenAI is reportedly backing away from expanding its AI data center partnership with Oracle because newer generations of Nvidia GPUs may arrive before the facility is even operational. CNBC reports: Artificial intelligence chips are getting upgraded more quic…,Slashdot.org,https://developers.slashdot.org/story/26/03/10/0510223/openai-is-walking-away-from-expanding-its-stargate-data-center-with-oracle,Positive,0.49
🤖 Auto,2026-03-13 17:00:28+00:00,3/28/26 9:57,Meta's New AI Model Is Reportedly Delayed Again. Is 'Avocado' Toast?,"Avocado, code name of Meta's next-generation foundational AI model, might not be released until May.",CNET,https://www.cnet.com/tech/services-and-software/meta-ai-model-delay-avocado-news/,Negative,-0.23
🤖 Auto,2026-03-02 18:40:28+00:00,3/28/26 9:57,"Extinction Watch: Sub-$500 Computers in Danger, According to Report","The exploding cost of RAM may contribute to a rise in PC prices, eliminating the category of computers under $500.",CNET,https://www.cnet.com/tech/computing/extinction-watch-sub-500-computers-in-danger-according-to-report/,Negative,-0.53
🤖 Auto,2026-03-13 16:25:55+00:00,3/28/26 9:57,Mark Zuckerberg’s Billion-Dollar Hiring Spree Doesn’t Seem to Be Going So Great,The rollout of the company’s new AI model is reportedly being pushed back due to performance concerns.,Gizmodo.com,https://gizmodo.com/mark-zuckerbergs-billion-dollar-hiring-spree-avocado-delays-ai-2000733284,Positive,0.74
🤖 Auto,2026-03-13 15:50:47+00:00,3/28/26 9:57,Fox News AI Newsletter: FDA rolls out AI-powered vaccine platform,"The Fox News AI Newsletter covers the latest artificial intelligence technology advancements, including the challenges and opportunities AI presents now and for the future.",Fox News,https://www.foxnews.com/tech/ai-newsletter-fda-rolls-out-ai-powered-vaccine-platform,Positive,0.72
🤖 Auto,2026-03-13 12:56:46+00:00,3/28/26 9:57,US economy expanded at sluggish 0.7% in fourth quarter,"The U.S. economy, hobbled by last fall’s 43-day government shutdown, advanced at a sluggish 0.7% annual rate from October through December, the Commerce Department reported Friday in a big downgrade of its initial estimate",Abcnews.com,https://abcnews.com/Business/wireStory/us-economy-expanded-sluggish-07-fourth-quarter-government-131035874,Negative,-0.53
🤖 Auto,2026-03-03 09:47:01+00:00,3/28/26 9:57,"Dallas Fed says 'older, experienced workers' likely have less cause for concern about AI job displacement",A new analysis from the Dallas Fed looks at the jobs impact since ChatGPT's launch. The data suggests a divide between young and old employees.,Business Insider,https://www.businessinsider.com/dallas-fed-ai-study-experienced-older-workers-2026-3,Neutral,0
🤖 Auto,2026-03-12 10:49:57+00:00,3/28/26 9:57,2 legal-tech rivals' biggest fight might not be against each other,AI startups Harvey and Legora are duking it out over the future of corporate law. They have very different views on how AI will upend the legal word.,Business Insider,https://www.businessinsider.com/harvey-legora-ai-law-legal-2026-3,Negative,-0.27
🤖 Auto,2026-03-12 00:00:00+00:00,3/28/26 9:57,‘Einstein‘ bot sharpens debate over AI in the classroom,Faculty members are spending ever more time outmanoeuvring students who want to cut corners with artificial intelligence.,Nature.com,https://www.nature.com/articles/d41586-026-00764-w,Positive,0.32
🤖 Auto,2026-03-11 18:38:21+00:00,3/28/26 9:57,Iran Warns US Tech Firms Could Become Targets as War Expands,"Companies including Google, Microsoft, and Palantir were listed as targets by Iranian media as the conflict with Israel and the US spills into digital infrastructure.",Wired,https://www.wired.com/story/iran-warns-us-tech-firms-could-become-targets-as-war-expands/,Negative,-0.74
🤖 Auto,2026-03-03 12:45:16+00:00,3/28/26 9:57,"Astronomers Estimated the Lifespan of Alien Civilizations, and It’s Not Looking Good for Us","Our search for extraterrestrial life has turned up empty, perhaps because technologically advanced civilizations are doomed to fail.",Gizmodo.com,https://gizmodo.com/astronomers-calculated-the-lifespan-of-intelligent-civilizations-and-its-not-looking-good-for-us-2000728756,Negative,-0.87
🤖 Auto,2026-03-11 15:25:06+00:00,3/28/26 9:57,"Read the memo authorizing Senate offices to use ChatGPT, Gemini, and Copilot for official use","It is not clear why the Senate did not authorize Claude, the AI chatbot developed by Anthropic.",Business Insider,https://www.businessinsider.com/read-memo-senate-authorizes-chatgpt-gemini-copilot-official-use-2026-3,Negative,-0.29
🤖 Auto,2026-03-03 15:32:13+00:00,3/28/26 9:57,Intelligence emerges when the whole brain works as one,"For decades, scientists have mapped attention, memory, language, and reasoning to separate brain networks — yet one big mystery remained: why does the mind feel like a single, unified system? Researchers at the University of Notre Dame now suggest that intell…",Science Daily,https://www.sciencedaily.com/releases/2026/03/260303050632.htm,Positive,0.8
🤖 Auto,2026-03-11 00:24:15+00:00,3/28/26 9:57,Oracle Will Downsize Its Product Teams Because Of AI,"""AI is helping so much that we don't need people,"" is the go-to narrative. But did Oracle convince investors?",Gizmodo.com,https://gizmodo.com/oracle-will-downsize-its-product-teams-because-of-ai-2000732097,Positive,0.48
🤖 Auto,2026-03-03 22:20:52+00:00,3/28/26 9:57,Palantir CEO Uses Slur to Describe People Who Don’t Think the Government Will Take Their Company,Hello Alex this is your lawyer speaking. I am advising you today to please keep posting this shit.,Gizmodo.com,https://gizmodo.com/palantir-ceo-uses-slur-to-describe-people-who-dont-think-the-government-will-take-their-company-2000729028,Negative,-0.45
🤖 Auto,2026-03-10 19:16:00+00:00,3/28/26 9:57,AI Bottlenecks: 3 Stocks Poised to Gain from the AI Buildout,"The real fortunes in AI will be made from companies providing the essential memory, energy, and physical space that make artificial intelligence possible.",Yahoo Entertainment,https://finance.yahoo.com/news/ai-bottlenecks-3-stocks-poised-191600590.html,Positive,0.86
🤖 Auto,2026-03-20 17:33:48+00:00,3/28/26 9:57,Online age checks came first — a VPN crackdown could be next,"This is The Stepback, a weekly newsletter breaking down one essential story from the tech world. For more news about online age verification and your privacy, follow Emma Roth. The Stepback arrives in our subscribers' inboxes at 8AM ET. Opt in for The Stepbac…",The Verge,https://www.theverge.com/column/898122/online-age-verification-vpns,Neutral,0
🤖 Auto,2026-03-05 09:18:00+00:00,3/28/26 9:57,"2 Artificial Intelligence (AI) Stocks With 75% and 280% Upside to Buy Now, According to Wall Street Analysts",,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8ae3d7f3-3b9e-45fc-8ec3-e1537866073a,Positive,0.48
🤖 Auto,2026-03-21 14:34:00+00:00,3/28/26 9:57,"Jeff Bezos Seeking $100 Billion to Buy Manufacturing Companies, 'Transform' Them With AI","Jeff Bezos ""is in early talks to raise $100 billion,"" reports the Wall Street Journal, ""for a new fund that would buy up manufacturing companies and seek to use AI technology to accelerate their path to automation."" 

""The Amazon.com founder is meeting with s…",Slashdot.org,https://slashdot.org/story/26/03/21/0529209/jeff-bezos-seeking-100-billion-to-buy-manufacturing-companies-transform-them-with-ai,Neutral,0
🤖 Auto,2026-03-20 19:00:21+00:00,3/28/26 9:57,Trump Proposes a ‘Light Touch’ National Framework for AI Policy,The next closest thing to no rules at all.,Gizmodo.com,https://gizmodo.com/trump-proposes-a-light-touch-national-framework-for-ai-policy-2000736105,Negative,-0.3
🤖 Auto,2026-02-27 13:52:00+00:00,3/27/26 7:34,The Cybersecurity Market Is Set to Double to $300 Billion by 2030. Here's the Best Artificial Intelligence (AI) Stock to Buy Now.,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e6db2e7f-8613-4a7d-991f-f6d2c1613e73,Positive,0.81
🤖 Auto,2026-02-26 23:14:44+00:00,3/27/26 7:34,Anthropic says company 'cannot in good conscience accede' to Pentagon's demands,Anthropic CEO Dario Amodei says the artificial intelligence company “cannot in good conscience accede” to the Pentagon’s demands to allow wider use of its technology. The Pentagon’s top spokesman is reiterating that the military wants to use Anthropic’s artif…,Associated Press,https://apnews.com/article/anthropic-ai-pentagon-hegseth-dario-amodei-9b28dda41bdb52b6a378fa9fc80b8fda,Positive,0.74
🤖 Auto,2026-02-26 21:00:34+00:00,3/27/26 7:34,"Stock market today: S&P 500, Nasdaq retreat as Nvidia falls 5% despite stellar earnings",Investors are assessing Nvidia's earnings report for a steer on the AI trade.,Yahoo Entertainment,https://finance.yahoo.com/news/live/stock-market-today-sp-500-nasdaq-retreat-as-nvidia-falls-5-despite-stellar-earnings-210034836.html,Positive,0.2
🤖 Auto,2026-02-27 15:30:11+00:00,3/27/26 7:34,Bitcoin Crashed 50% in 4 Months. Fidelity Says That’s a Good Thing,Fidelity Digital Assets analysts do see one ray of hope for bitcoin maxis.,Gizmodo.com,https://gizmodo.com/bitcoin-crashed-50-in-4-months-fidelity-says-thats-a-good-thing-2000727284,Positive,0.76
🤖 Auto,2026-02-27 02:19:45+00:00,3/27/26 7:34,Deadline looms as Anthropic rejects Pentagon demands it remove AI safeguards,The Defense Department has been feuding with Anthropic over military uses of its artificial intelligence tools. At stake are hundreds of millions of dollars in contracts and access to some of the most advanced AI on the planet.,NPR,https://www.npr.org/2026/02/26/nx-s1-5727847/anthropic-defense-hegseth-ai-weapons-surveillance,Positive,0.22
🤖 Auto,2026-02-26 15:08:53+00:00,3/27/26 7:34,We asked experts how to build a resume for the AI hiring era,"With AI-backed hiring on the rise, tips for ""hacking"" your resume are all over social media. As job search companies increasingly rely on artificial intelligence to sort through applications, job seekers wonder how to best position themselves with those filte…",The Verge,https://www.theverge.com/featured-video/884368/we-asked-experts-how-to-build-a-resume-for-the-ai-hiring-era,Positive,0.81
🤖 Auto,2026-02-27 15:25:07+00:00,3/27/26 7:34,Block's layoffs illustrate the market conundrum at the heart of the viral Citrini report,"Investors cheered Block's big layoffs, but the move also flicks at the tension between markets and the economy Citrini highligthed in its viral AI note.",Business Insider,https://www.businessinsider.com/block-layoffs-ai-job-cuts-white-collar-recession-outlook-2026-2,Positive,0.2
